"Wert"	"n"	"sum"
.00	142	142
2.00	2	144
3.00	2	146
4.00	1	147
5.00	16	163
6.00	1	164
7.00	4	168
8.00	1	169
10.00	45	214
12.00	1	215
15.00	28	243
15.49	1	244
16.00	1	245
17.00	1	246
18.00	1	247
20.00	71	318
25.00	12	330
30.00	54	384
35.00	4	388
39.00	1	389
40.00	18	407
45.00	4	411
50.00	91	502
60.00	19	521
61.00	1	522
65.00	1	523
70.00	10	533
75.00	5	538
80.00	9	547
90.00	1	548
100.00	56	604
120.00	3	607
130.00	2	609
140.00	1	610
150.00	20	630
200.00	14	644
250.00	4	648
260.00	1	649
300.00	5	654
400.00	1	655
600.00	2	657
700.00	2	659
1000.00	2	661
