"Altersstufe * Freigabe1 [Anzahl]."	""	".    "	"Gesamt"	"USK0 "	"USK12"	"USK16"	"USK18"	"USK6 "
10.0	147	15	345	24	28	63	58	10
15.0	1607	206	4300	174	509	860	831	113
20.0	1924	315	5150	200	671	1030	862	148
25.0	2260	387	6030	291	799	1157	939	197
30.0	1492	219	3735	149	460	674	616	125
35.0	692	69	1545	61	169	274	228	52
40.0	309	31	730	26	81	145	108	30
45.0	147	17	325	15	36	63	34	13
50.0	63	3	140	3	29	23	14	5
55.0	29	4	50	0	6	2	7	2
60.0	2924	35	3405	25	98	166	134	23
Gesamt	11594	1301	25755	968	2886	4457	3831	718
